excel_row,raw_label,mapped_label,pred_mapped_label,pred_raw_label,nearest_negative_mapped_label,nearest_negative_raw_label,d_pos,d_neg,margin,correct
2,0,0,6,6,6,6,0.032267954,0.008011339,-0.0121283075,False
3,0,0,6,6,6,6,0.027102768,0.01678232,-0.0051602246,False
4,10,1,5,3,5,3,0.034900915,0.024860691,-0.005020112,False
5,0,0,6,6,6,6,0.038721688,0.016027877,-0.0113469055,False
6,0,0,5,3,5,3,0.04773186,0.02539191,-0.011169976,False
7,0,0,6,6,6,6,0.034730967,0.01404709,-0.010341939,False
8,0,0,5,3,5,3,0.051844865,0.023580866,-0.014132,False
9,10,1,6,6,6,6,0.013790672,0.011128517,-0.0013310774,False
10,0,0,0,0,1,10,0.019628271,0.035979103,0.008175416,True
11,0,0,0,0,1,10,0.017266097,0.028887725,0.005810814,True
12,10,1,5,3,5,3,0.037482005,0.02507149,-0.006205257,False
13,10,1,0,0,0,0,0.020828329,0.010058928,-0.0053847004,False
14,10,1,0,0,0,0,0.017695952,0.013509007,-0.0020934725,False
15,0,0,6,6,6,6,0.020211132,0.014378829,-0.0029161517,False
16,0,0,0,0,1,10,0.010008764,0.014364557,0.0021778964,True
17,0,0,6,6,6,6,0.026576918,0.012910255,-0.006833331,False
18,0,0,0,0,1,10,0.008778956,0.023624454,0.007422749,True
19,0,0,6,6,6,6,0.051214553,0.026617955,-0.012298299,False
20,0,0,0,0,1,10,0.009624753,0.022976331,0.006675789,True
21,10,1,6,6,6,6,0.017830707,0.015952125,-0.00093929097,False
22,0,0,5,3,5,3,0.068492986,0.013939228,-0.02727688,False
23,0,0,6,6,6,6,0.035907876,0.012878057,-0.01151491,False
24,0,0,6,6,6,6,0.033874236,0.0091670025,-0.012353617,False
25,0,0,5,3,5,3,0.056495894,0.021212902,-0.017641496,False
26,0,0,6,6,6,6,0.044786546,0.022849752,-0.010968397,False
27,10,1,5,3,5,3,0.053899016,0.017605681,-0.018146668,False
28,0,0,5,3,5,3,0.051587787,0.022759756,-0.014414015,False
29,0,0,6,6,6,6,0.051490873,0.026320662,-0.012585105,False
30,0,0,0,0,1,10,0.01787969,0.031440582,0.0067804465,True
31,0,0,5,3,5,3,0.05672724,0.021489458,-0.01761889,False
32,10,1,1,10,0,0,0.008744571,0.014545331,0.0029003797,True
33,10,1,6,6,6,6,0.024335278,0.017582146,-0.0033765659,False
34,0,0,0,0,1,10,0.008595118,0.019001616,0.005203249,True
35,0,0,5,3,5,3,0.054836474,0.020867484,-0.016984496,False
36,0,0,6,6,6,6,0.025465699,0.015337871,-0.0050639138,False
37,10,1,5,3,5,3,0.09193978,0.03988573,-0.026027024,False
38,10,1,6,6,6,6,0.01988575,0.008589247,-0.0056482516,False
39,0,0,5,3,5,3,0.08908781,0.02316022,-0.032963794,False
40,0,0,0,0,1,10,0.09097522,0.10828809,0.008656435,True
41,0,0,0,0,1,10,0.029649943,0.046954192,0.008652125,True
42,0,0,0,0,1,10,0.028049268,0.044676885,0.008313809,True
43,0,0,6,6,6,6,0.023464192,0.014370733,-0.0045467294,False
44,0,0,0,0,1,10,0.05257712,0.0682807,0.007851789,True
45,0,0,0,0,1,10,0.014073229,0.028010175,0.0069684726,True
46,0,0,0,0,1,10,0.0713832,0.088543005,0.008579902,True
47,0,0,0,0,1,10,0.02582883,0.041794,0.007982584,True
48,0,0,0,0,6,6,0.015389641,0.029735845,0.007173102,True
49,0,0,5,3,5,3,0.06281448,0.02582238,-0.018496051,False
50,0,0,6,6,6,6,0.03576946,0.016462902,-0.009653279,False
51,0,0,6,6,6,6,0.026375124,0.012778772,-0.006798176,False
52,0,0,0,0,1,10,0.06548319,0.08274918,0.008632995,True
53,0,0,5,3,5,3,0.11920745,0.05484636,-0.032180544,False
54,0,0,6,6,6,6,0.04457485,0.019735556,-0.012419647,False
55,0,0,6,6,6,6,0.03177762,0.016374778,-0.007701421,False
56,0,0,6,6,6,6,0.031247532,0.017109746,-0.007068893,False
57,0,0,5,3,5,3,0.09985658,0.03443058,-0.032713,False
58,0,0,5,3,5,3,0.07543741,0.015989298,-0.029724058,False
59,0,0,5,3,5,3,0.093708575,0.029921742,-0.031893417,False
60,0,0,0,0,1,10,0.009203588,0.02146742,0.006131916,True
61,0,0,0,0,1,10,0.015102416,0.016741045,0.0008193143,True
62,0,0,0,0,1,10,0.034924265,0.052515842,0.0087957885,True
63,0,0,0,0,1,10,0.031279642,0.047837786,0.008279072,True
64,0,0,0,0,1,10,0.031704392,0.04719594,0.0077457745,True
65,0,0,0,0,1,10,0.02552554,0.041535683,0.008005071,True
66,0,0,0,0,1,10,0.017653385,0.035472117,0.008909366,True
67,0,0,0,0,1,10,0.015211418,0.030313,0.007550791,True
68,0,0,0,0,1,10,0.07902619,0.096310824,0.008642316,True
69,0,0,6,6,6,6,0.04409931,0.022006242,-0.0110465335,False
70,0,0,0,0,1,10,0.02546362,0.041891564,0.008213972,True
71,0,0,6,6,6,6,0.044044115,0.02518389,-0.009430112,False
72,0,0,0,0,1,10,0.026163332,0.041838016,0.007837342,True
73,0,0,1,10,1,10,0.02805475,0.012456804,-0.007798973,False
74,0,0,1,10,1,10,0.021955611,0.014739408,-0.0036081015,False
75,0,0,1,10,1,10,0.01808156,0.0096353255,-0.0042231176,False
76,0,0,0,0,1,10,0.022266401,0.039594173,0.008663886,True
77,0,0,0,0,1,10,0.012402364,0.01373001,0.000663823,True
78,0,0,0,0,1,10,0.0342347,0.05152253,0.008643916,True
79,0,0,0,0,1,10,0.009584841,0.024232633,0.007323896,True
80,0,0,0,0,1,10,0.03250012,0.04940432,0.008452099,True
81,0,0,0,0,1,10,0.035347946,0.052419815,0.008535935,True
82,0,0,0,0,1,10,0.0140968645,0.017559318,0.0017312267,True
83,0,0,0,0,1,10,0.0135945985,0.028731821,0.0075686113,True
84,0,0,6,6,6,6,0.04269881,0.020868618,-0.010915097,False
85,0,0,1,10,1,10,0.018476965,0.012649559,-0.0029137027,False
86,0,0,5,3,5,3,0.061909743,0.017236125,-0.022336809,False
87,0,0,6,6,6,6,0.022048349,0.0073019257,-0.0073732114,False
88,0,0,0,0,1,10,0.014633187,0.018134598,0.0017507053,True
89,0,0,0,0,1,10,0.014372522,0.031768896,0.008698187,True
