excel_row,raw_label,mapped_label,split,original_length,resampled_length
2,0,0,query,153,200
3,0,0,query,153,200
4,10,1,query,149,200
5,0,0,query,136,200
6,0,0,query,151,200
7,0,0,query,153,200
8,0,0,query,154,200
9,10,1,query,152,200
10,0,0,query,147,200
11,0,0,query,149,200
12,10,1,query,147,200
13,10,1,query,148,200
14,10,1,query,147,200
15,0,0,query,153,200
16,0,0,query,147,200
17,0,0,query,150,200
18,0,0,query,149,200
19,0,0,query,157,200
20,0,0,query,137,200
21,10,1,query,148,200
22,0,0,query,156,200
23,0,0,query,155,200
24,0,0,query,153,200
25,0,0,query,155,200
26,0,0,query,156,200
27,10,1,query,155,200
28,0,0,query,154,200
29,0,0,query,154,200
30,0,0,query,152,200
31,0,0,query,150,200
32,10,1,query,148,200
33,10,1,query,146,200
34,0,0,query,156,200
35,0,0,query,147,200
36,0,0,query,162,200
37,10,1,query,158,200
38,10,1,query,160,200
39,0,0,query,153,200
40,0,0,query,160,200
41,0,0,query,152,200
42,0,0,query,161,200
43,0,0,query,153,200
44,0,0,query,155,200
45,0,0,query,154,200
46,0,0,query,160,200
47,0,0,query,153,200
48,0,0,query,144,200
49,0,0,query,153,200
50,0,0,query,140,200
51,0,0,query,153,200
52,0,0,query,149,200
53,0,0,query,154,200
54,0,0,query,158,200
55,0,0,query,160,200
56,0,0,query,165,200
57,0,0,query,164,200
58,0,0,query,161,200
59,0,0,query,166,200
60,0,0,query,152,200
61,0,0,query,153,200
62,0,0,query,154,200
63,0,0,query,148,200
64,0,0,query,149,200
65,0,0,query,145,200
66,0,0,query,155,200
67,0,0,query,149,200
68,0,0,query,147,200
69,0,0,query,145,200
70,0,0,query,148,200
71,0,0,query,144,200
72,0,0,query,145,200
73,0,0,query,147,200
74,0,0,query,149,200
75,0,0,query,145,200
76,0,0,query,148,200
77,0,0,query,143,200
78,0,0,query,147,200
79,0,0,query,147,200
80,0,0,query,148,200
81,0,0,query,143,200
82,0,0,query,147,200
83,0,0,query,154,200
84,0,0,query,150,200
85,0,0,query,148,200
86,0,0,query,157,200
87,0,0,query,152,200
88,0,0,query,153,200
89,0,0,query,152,200
90,0,0,query,151,200
91,0,0,query,153,200
92,0,0,query,155,200
93,0,0,query,154,200
94,0,0,query,157,200
95,0,0,query,155,200
96,4,4,query,838,200
97,4,4,query,747,200
98,8,2,query,817,200
99,8,2,query,472,200
100,8,2,query,508,200
101,8,2,query,436,200
102,8,2,query,319,200
103,8,2,query,582,200
104,8,2,query,992,200
105,8,2,query,695,200
106,8,2,query,662,200
107,1,7,query,77,200
108,8,2,query,510,200
109,8,2,query,380,200
110,8,2,query,408,200
111,8,2,query,992,200
112,4,4,query,992,200
113,8,2,query,992,200
114,8,2,query,614,200
115,8,2,query,992,200
116,8,2,query,671,200
117,8,2,query,568,200
118,8,2,query,632,200
119,8,2,query,797,200
120,9,3,query,83,200
121,9,3,query,82,200
122,8,2,query,393,200
123,8,2,query,334,200
124,8,2,query,473,200
125,8,2,query,992,200
126,1,7,query,59,200
127,9,3,query,992,200
128,8,2,query,586,200
129,8,2,query,446,200
130,9,3,query,79,200
131,9,3,query,78,200
132,9,3,query,88,200
133,8,2,query,992,200
134,8,2,support,706,200
135,8,2,query,322,200
136,1,7,query,79,200
137,8,2,query,363,200
138,8,2,query,389,200
139,8,2,query,992,200
140,8,2,query,689,200
142,3,5,query,88,200
143,8,2,query,958,200
144,8,2,query,677,200
145,8,2,query,690,200
146,1,7,query,24,200
147,8,2,query,992,200
148,8,2,query,527,200
149,8,2,query,442,200
150,9,3,query,992,200
151,8,2,query,667,200
152,9,3,query,992,200
153,8,2,query,745,200
154,8,2,query,692,200
155,8,2,query,992,200
156,8,2,query,766,200
157,8,2,query,683,200
158,0,0,query,158,200
159,0,0,query,152,200
160,0,0,query,155,200
161,0,0,query,150,200
162,0,0,query,154,200
163,0,0,query,148,200
164,0,0,query,152,200
165,0,0,query,150,200
166,0,0,query,154,200
167,0,0,query,149,200
168,0,0,query,154,200
169,0,0,query,150,200
170,0,0,query,152,200
171,0,0,query,149,200
172,0,0,query,152,200
173,0,0,query,147,200
174,0,0,query,151,200
175,0,0,query,148,200
176,0,0,query,151,200
177,0,0,query,150,200
178,0,0,query,151,200
179,0,0,query,147,200
180,0,0,query,150,200
181,0,0,query,149,200
182,0,0,query,150,200
183,4,4,support,727,200
184,4,4,query,642,200
185,4,4,query,992,200
186,4,4,query,829,200
187,0,0,query,147,200
188,0,0,query,148,200
189,0,0,query,145,200
190,0,0,query,144,200
191,0,0,query,145,200
192,0,0,query,146,200
193,0,0,query,144,200
194,8,2,query,992,200
195,6,6,query,97,200
